title,author,year,theme,themes,response,techStance,econ,newScarcity,worthLiving,identityModel,deathRole,workRole,coreQuestion,aiPresence,persists,fades,desc,debatesWith
Too Like the Lightning,Ada Palmer,2016,hierarchy,hierarchy; freedom; identity; meaning,acceptance,neutral,hybrid,meaning,creation,constructed,meaning,transformed,how-live,absent,hives; sensayers; poetry_as_power,simple_progress; secure_peace; certainty,"In a 25th-century utopia where religion is outlawed, a convict discovers a child whose wishes come true.",The Dispossessed
Service Model,Adrian Tchaikovsky,2024,work,work; meaning; identity; hierarchy,acceptance,neutral,post-money,meaning,connection,constructed,irrelevant,transformed,what-matters,central,care; craft,achievement; necessity,A robot servant murders its owner and flees into a crumbling world where machines search for new purpose.,A Psalm for the Wild-Built
Revelation Space,Alastair Reynolds,2000,meaning,meaning; identity; mortality; hierarchy,restlessness,neutral,hybrid,meaning,discovery,fluid,endpoint,voluntary,what-matters,central,craft; difficulty,comfort,"An archaeologist uncovers why an alien civilization was annihilated, risking the same fate for humanity.",Blindsight
Pushing Ice,Alastair Reynolds,2005,connection,connection; identity; meaning; work,acceptance,neutral,hybrid,connection,connection,fixed,meaning,essential,how-live,background,care; craft; difficulty,status,A comet-mining crew discovers that Saturn's moon Janus is actually an alien machine heading out of the solar system.,
House of Suns,Alastair Reynolds,2008,identity,identity; mortality; connection; meaning,acceptance,liberating,post-money,identity,connection,multiple,transcended,voluntary,who-am-i,central,care; stories; attention,boredom,"Six million years in the future, two lovers from a clone family must discover who is eliminating their line.",
Brave New World,Aldous Huxley,1932,freedom,freedom; meaning; identity; connection,rejection,imprisoning,post-money,meaning,struggle,constructed,irrelevant,transformed,what-matters,absent,stability; contentment; system,depth; meaning; art; god; poetry,"In a future society, humans are genetically engineered and conditioned to serve an authoritarian order.",The Dispossessed
The Demolished Man,Alfred Bester,1953,identity,identity; hierarchy; freedom; meaning,transcendence,neutral,hybrid,identity,transcendence,constructed,irrelevant,transformed,who-am-i,absent,attention; care,artificial,"In a world where telepathic police make murder nearly impossible to conceal, a tycoon attempts the perfect murder.",
The Stars My Destination,Alfred Bester,1956,freedom,freedom; identity; meaning; hierarchy,transcendence,liberating,hybrid,meaning,transcendence,fluid,endpoint,voluntary,who-am-i,absent,difficulty; risk,status; necessity,"Abandoned in space by a passing ship, an uneducated outcast transforms himself into an engine of revenge.",Neuromancer
The Martian,Andy Weir,2011,work,work; connection; meaning; embodiment,reform,liberating,hybrid,meaning,creation,fixed,endpoint,essential,how-live,absent,craft; difficulty; risk,boredom; artificial,An astronaut stranded alone on Mars must use his ingenuity to survive until rescue.,Robinson Crusoe
Project Hail Mary,Andy Weir,2021,work,work; connection; meaning,reform,liberating,hybrid,connection,creation,fixed,meaning,essential,how-live,absent,craft; care; difficulty,status,A lone astronaut with amnesia awakens on a spacecraft and must solve an extinction-level threat to save Earth.,Blindsight
